,teams
253,"['UC', 'Riverside']"
254,"['Utah', 'State']"
255,"['Colorado', 'State']"
256,"['Prairie', 'View', 'A&M']"
257,['Grambling']
258,"['San', 'Diego', 'State']"
259,['Nevada']
260,['Memphis']
261,['UCF']
262,"['Eastern', 'Washington']"
263,['Montana']
264,"['New', 'Mexico', 'State']"
265,"['Utah', 'Valley']"
266,['Colorado']
267,['USC']
268,"['UC', 'Irvine']"
269,"['UC', 'Riverside']"
270,"['Utah', 'State']"
271,"['Colorado', 'State']"
